上牌时间,表显里程,上牌地,迁入地为准,变速箱,排量,登记证为准,看车地址,年检到期,交强险,商业险到期,car_title,car_prices,car_newprices,car_url
2013-04,15.26万公里,徐州,国四,手动,1.6,0次过户,云龙,2019-4,2019-4,2019-4,大众 桑塔纳 2013款 1.6L 手动舒适版,¥4.00 万,新车指导价11.30万(含税),https://www.guazi.com/xuzhou/bcfbb205ffebfdc3x.htm
2017-10,2.72万公里,徐州,国五,自动,1.6,2次过户,云龙,2019-10,2019-9,已过期,起亚K4 2017款 1.6T 自动T-DLX Turbo,¥10.63 万,新车指导价17.30万(含税),https://www.guazi.com/xuzhou/dee0e020c5135d45x.htm
2011-04,8.67万公里,徐州,国四,自动,1.8,3次过户,云龙,2019-4,2018-10,已过期,别克 英朗 2011款 GT 1.8L 自动时尚版真皮款,¥4.10 万,新车指导价17.90万(含税),https://www.guazi.com/xuzhou/14ac00b20e97dbd3x.htm
2014-08,2.74万公里,徐州,国四,手动,1.6,0次过户,泉山,2018-8,2018-8,2018-8,福特福克斯 2012款 三厢 1.6L 手动舒适型,¥6.00 万,新车指导价13.00万(含税),https://www.guazi.com/xuzhou/a42a1e4db4b0a4fex.htm
2013-12,4.63万公里,徐州,国四,手动,1.6,0次过户,云龙,2019-12,2019-12,已过期,别克 英朗 2013款 GT 1.6L 手动舒适版,¥5.10 万,新车指导价14.40万(含税),https://www.guazi.com/xuzhou/780d1e5dab55b83fx.htm
2016-12,3.13万公里,徐州,国五,自动,1.6,0次过户,铜山,2018-12,2017-11,2017-11,现代ix25 2015款 1.6L 自动两驱智能型GLS,¥9.60 万,新车指导价15.50万(含税),https://www.guazi.com/xuzhou/b4b0191afc504cc1x.htm
2014-01,3.9万公里,徐州,国四,手动,1.6,0次过户,贾汪,2020-1,2019-1,已过期,海马 福美来 2014款 三厢 1.6L 手动冠军版,¥2.85 万,新车指导价8.70万(含税),https://www.guazi.com/xuzhou/96b4a3dd47b8e512x.htm
2010-10,7.6万公里,徐州,国四,自动,2.0,1次过户,泉山,2019-10,2019-10,已过期,马自达 睿翼 2010款 2.0L 自动豪华版,¥6.15 万,新车指导价21.10万(含税),https://www.guazi.com/xuzhou/af5df2e3f9c593eex.htm
2014-07,6.2万公里,徐州,国四,自动,2.4,0次过户,邳州,2020-7,2019-7,已过期,现代 全新胜达 2013款 2.4L 自动两驱舒适型,¥13.00 万,新车指导价24.70万(含税),https://www.guazi.com/xuzhou/96ecb840bf86296bx.htm
2015-06,4.88万公里,徐州,国四,自动,1.6,0次过户,睢宁,2019-6,2019-6,已过期,大众 速腾 2015款 1.6L 自动舒适型,¥8.80 万,新车指导价16.40万(含税),https://www.guazi.com/xuzhou/3a0e280583c76db7x.htm
2012-03,7.95万公里,徐州,国四,自动,1.6,0次过户,睢宁,2019-3,2019-3,已过期,大众 宝来 2012款 1.6L 自动舒适型,¥4.84 万,新车指导价14.20万(含税),https://www.guazi.com/xuzhou/5bb891172c310e5bx.htm
2016-11,5.6万公里,徐州,国五,自动,1.6,0次过户,云龙,2020-11,2018-12,已过期,现代 途胜 2015款 1.6T 双离合两驱智能型,¥11.75 万,新车指导价19.50万(含税),https://www.guazi.com/xuzhou/37519b5a8a282badx.htm
2017-08,4.06万公里,徐州,国五,自动,1.5,1次过户,云龙,2019-8,2019-8,已过期,马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型,¥10.70 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/231279c56ba2407dx.htm
2014-11,2.49万公里,徐州,国五,自动,1.6,0次过户,云龙,2018-11,2018-11,2018-11,丰田 卡罗拉 2014款 1.6L CVT GL-i,¥8.60 万,新车指导价13.90万(含税),https://www.guazi.com/xuzhou/c86c49040e3e3a2dx.htm
2011-11,13.03万公里,徐州,国四,自动,2.0,0次过户,鼓楼,2019-11,2019-3,2019-3,奥迪Q5 2011款 2.0TFSI 舒适型,¥16.00 万,新车指导价51.60万(含税),https://www.guazi.com/xuzhou/66318608fc04c2c6x.htm
2012-06,8.24万公里,徐州,国四,自动,2.3,1次过户,沛县,2019-6,2019-6,2019-6,标致508 2012款 2.3L 罗兰·加洛斯版,¥7.20 万,新车指导价22.80万(含税),https://www.guazi.com/xuzhou/3c84cd18db0eae45x.htm
2010-06,4.09万公里,徐州,国四,手动,1.4,0次过户,泉山,2019-6,2019-6,2019-6,大众POLO 2009款 劲情 1.4L 手动时尚版,¥2.66 万,新车指导价9.30万(含税),https://www.guazi.com/xuzhou/2a8a8482d098e5c1x.htm
2016-03,3.25万公里,徐州,国五,自动,2.0,0次过户,泉山,2020-3,2018-12,2018-12,路虎 发现神行 2016款 2.0T SE,¥24.00 万,新车指导价44.30万(含税),https://www.guazi.com/xuzhou/88b60fa085a02343x.htm
2014-04,3.28万公里,徐州,国四,手动,1.5,0次过户,新沂,2020-4,2019-3,2019-3,MG3 2013款 1.5L 手动超值版,¥3.10 万,新车指导价8.30万(含税),https://www.guazi.com/xuzhou/9871f45f269ced47x.htm
2015-09,3.38万公里,徐州,国四,自动,1.8,2次过户,泉山,2019-9,2018-12,2018-12,大众 途观 2015款 1.8TSI 自动两驱豪华型,¥15.00 万,新车指导价28.20万(含税),https://www.guazi.com/xuzhou/5c66dddbd69c45b8x.htm
2008-05,11.45万公里,徐州,国二,自动,1.8,1次过户,泉山,2019-5,2019-8,已过期,奥迪A4 2008款 1.8T 自动舒适型,¥5.00 万,新车指导价31.90万(含税),https://www.guazi.com/xuzhou/00d82dc3322c65cbx.htm
2015-09,4.22万公里,徐州,国五,自动,1.6,1次过户,睢宁,2019-9,2019-9,已过期,福特 福克斯 2012款 两厢 1.6L 自动舒适型,¥6.50 万,新车指导价14.20万(含税),https://www.guazi.com/xuzhou/ec069760dd6e43e2x.htm
2016-03,3.11万公里,徐州,国四,手动,1.6,0次过户,云龙,2020-3,2019-3,2019-3,奇瑞 瑞虎3 2015款 1.6L 手动智尚纪念版,¥4.30 万,新车指导价8.70万(含税),https://www.guazi.com/xuzhou/a49d2f9115f33334x.htm
2008-04,8.28万公里,徐州,国四,自动,2.0,0次过户,泉山,2019-4,2019-5,2019-5,标致307 2007款 改款 2.0L 自动舒适版,¥1.98 万,新车指导价15.00万(含税),https://www.guazi.com/xuzhou/848709772ac20bc7x.htm
2016-01,3.06万公里,徐州,国五,自动,1.5,0次过户,鼓楼,2020-1,2019-1,2019-1,福特 翼虎 2015款 1.5L GTDi 两驱风尚型,¥12.30 万,新车指导价23.60万(含税),https://www.guazi.com/xuzhou/4a2d571da6e4c5d7x.htm
2017-01,1.97万公里,徐州,国五,手动,1.5,0次过户,鼓楼,2021-1,2019-1,已过期,奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,¥4.30 万,新车指导价6.90万(含税),https://www.guazi.com/xuzhou/c692730b016ff878x.htm
2016-09,1.68万公里,徐州,国五,自动,1.4,0次过户,新沂,2020-9,2019-8,2019-8,大众 朗行 2015款 230TSI DSG舒适版,¥9.00 万,新车指导价16.30万(含税),https://www.guazi.com/xuzhou/1ff3f05ff7d1c899x.htm
2014-10,6.08万公里,徐州,国四,手动,1.6,0次过户,丰县,2020-10,2019-8,2019-8,启辰R50X 2015款 1.6L 手动豪华版,¥3.80 万,新车指导价8.80万(含税),https://www.guazi.com/xuzhou/2e1c88fd9c0976cax.htm
2014-04,8.88万公里,徐州,国四,手动,1.6,0次过户,鼓楼,2019-4,2019-3,2019-3,现代 朗动 2012款 1.6L 手动领先型,¥5.30 万,新车指导价12.60万(含税),https://www.guazi.com/xuzhou/93e0d5014d3dbd3ex.htm
2017-06,3.42万公里,徐州,国五,自动,2.5,0次过户,云龙,2019-6,2019-6,已过期,斯巴鲁 森林人 2017款 2.5i 豪华特装版,¥19.85 万,新车指导价29.80万(含税),https://www.guazi.com/xuzhou/6b745ebc1f784b84x.htm
2017-03,0.89万公里,徐州,国五,自动,1.5,0次过户,云龙,2019-3,2019-3,2019-3,奇瑞 艾瑞泽5 2017款 SPORT 1.5T CVT尊贵版,¥6.22 万,新车指导价10.60万(含税),https://www.guazi.com/xuzhou/0da7656ef12495c7x.htm
2015-09,11.3万公里,徐州,国五,自动,1.5,0次过户,新沂,2019-9,2019-11,已过期,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,¥7.00 万,新车指导价14.80万(含税),https://www.guazi.com/xuzhou/02e935b6f79a983ex.htm
2017-09,1.96万公里,徐州,国五,自动,1.5,1次过户,云龙,2019-9,2019-9,已过期,荣威360 2017款 1.5L 自动豪华版,¥6.21 万,新车指导价9.80万(含税),https://www.guazi.com/xuzhou/d264a4e3faa208d1x.htm
2014-01,6.22万公里,徐州,国四,手动,1.6,0次过户,鼓楼,2020-1,2019-1,2019-1,雪佛兰 科鲁兹 2013款 1.6L SL MT,¥4.50 万,新车指导价11.80万(含税),https://www.guazi.com/xuzhou/ce3eb0c82610e68bx.htm
2016-04,2.2万公里,徐州,国五,手动,1.8,0次过户,云龙,2019-4,2019-4,2019-4,宝骏560 2016款 1.8L 手动豪华型,¥5.67 万,新车指导价9.10万(含税),https://www.guazi.com/xuzhou/eadeff39f225362fx.htm
2015-10,4.66万公里,徐州,国五,手动,1.5,0次过户,丰县,2019-10,2019-10,2019-10,吉利 帝豪 2015款 两厢RS 1.5L 手动向上版,¥4.00 万,新车指导价8.30万(含税),https://www.guazi.com/xuzhou/c9c8430a49373e69x.htm
2012-05,6.38万公里,徐州,国四,手动,1.6,2次过户,鼓楼,2019-5,2019-8,2019-8,福特 福克斯 2012款 三厢 1.6L 手动舒适型,¥4.00 万,新车指导价13.00万(含税),https://www.guazi.com/xuzhou/ccd15f90a3a7d0a3x.htm
2016-05,2.72万公里,徐州,国五,自动,2.0,2次过户,云龙,2020-5,2019-6,2019-6,宝马5系 2014款 525Li 领先型,¥31.34 万,新车指导价50.60万(含税),https://www.guazi.com/xuzhou/4275eaaf50632df0x.htm
2017-11,5.01万公里,徐州,国五,自动,1.4,0次过户,云龙,2019-11,2019-10,2019-10,斯柯达 速派 2018款 TSI280 DSG舒适版,¥12.82 万,新车指导价20.60万(含税),https://www.guazi.com/xuzhou/c46a5c94c3dd03bcx.htm
2016-12,4.71万公里,徐州,国五,自动,2.0,0次过户,云龙,2018-12,2018-12,已过期,凯迪拉克XT5 2016款 28T 四驱技术型,¥27.02 万,新车指导价41.20万(含税),https://www.guazi.com/xuzhou/97fd8184794ffd5dx.htm
2012-08,5.48万公里,徐州,国四,自动,1.5,1次过户,云龙,2019-8,2019-8,2019-8,铃木 雨燕 2011款 1.5L 自动运动影音版,¥3.66 万,新车指导价10.00万(含税),https://www.guazi.com/xuzhou/68f2272ec9259dbax.htm
2016-04,6.5万公里,徐州,国五,自动,2.0,0次过户,沛县,2020-4,2019-4,2019-4,陆风X7 2015款 2.0T 全景尊贵版,¥7.03 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/b32e93ee49cd7a21x.htm
2013-01,10.21万公里,徐州,国四,手动,1.6,0次过户,云龙,2019-1,2018-12,2018-12,福特 福克斯 2012款 三厢 1.6L 手动舒适型,¥4.61 万,新车指导价13.00万(含税),https://www.guazi.com/xuzhou/71fca26a7ab39bb9x.htm
2009-05,16.86万公里,徐州,国四,自动,1.3,0次过户,云龙,2019-5,2019-11,2019-11,本田 飞度 2008款 1.3L 自动舒适版,¥3.00 万,新车指导价10.80万(含税),https://www.guazi.com/xuzhou/9e2c288c9a68cc29x.htm
2013-03,11.06万公里,徐州,国四,自动,2.4,0次过户,云龙,2019-3,2019-3,2019-3,本田 歌诗图 2012款 2.4L 豪华版,¥11.76 万,新车指导价28.20万(含税),https://www.guazi.com/xuzhou/7226497f58a60602x.htm
2018-04,0.99万公里,徐州,国五,自动,1.8,0次过户,云龙,2020-4,2019-4,2019-4,众泰T700 2017款 1.8T 双离合尊贵型,¥9.80 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/579a8c8be698e9d8x.htm
2014-07,10.01万公里,徐州,国四,自动,2.0,1次过户,云龙,2020-7,2019-6,已过期,起亚 智跑 2014款 2.0L 自动两驱版GL,¥8.32 万,新车指导价19.40万(含税),https://www.guazi.com/xuzhou/923d4a77acf2397fx.htm
2016-04,2.61万公里,徐州,国五,自动,1.5,0次过户,铜山,2020-4,2019-4,已过期,别克 英朗 2016款 15N 自动精英型,¥7.25 万,新车指导价13.80万(含税),https://www.guazi.com/xuzhou/14efd03d2ab05f06x.htm
2016-10,4.48万公里,徐州,国五,自动,2.0,0次过户,睢宁,2020-10,2019-10,已过期,凯迪拉克XTS 2016款 28T 技术型,¥20.00 万,新车指导价38.00万(含税),https://www.guazi.com/xuzhou/8b670dfb3e63e643x.htm
2016-02,5.83万公里,徐州,国五,手动,1.5,0次过户,泉山,2020-2,2019-2,已过期,宝骏730 2016款 1.5L 手动舒适型 7座,¥4.80 万,新车指导价7.60万(含税),https://www.guazi.com/xuzhou/2609e1a906331016x.htm
2016-08,1.92万公里,徐州,国五,自动,3.6,0次过户,泉山,2020-8,2019-7,2019-7,克莱斯勒 大捷龙 2014款 3.6L 舒适版(进口),¥27.50 万,新车指导价48.50万(含税),https://www.guazi.com/xuzhou/32f73aad4ced1ce1x.htm
2017-04,0.6万公里,徐州,国五,自动,1.3,0次过户,泉山,2019-4,2019-4,已过期,雪佛兰 2015款 赛欧3 1.3L AMT理想版,¥4.75 万,新车指导价7.50万(含税),https://www.guazi.com/xuzhou/f15ac0c24bd86aaax.htm
2015-04,1.67万公里,徐州,国四,手动,1.6,0次过户,云龙,2019-4,2019-3,2019-3,现代ix25 2015款 1.6L 手动两驱时尚型GS,¥6.40 万,新车指导价13.00万(含税),https://www.guazi.com/xuzhou/0502d160bc841856x.htm
2016-02,6.43万公里,徐州,国五,手动,1.5,0次过户,泉山,2020-2,2019-2,已过期,日产 阳光 2014款 1.5XE 手动舒适版,¥4.14 万,新车指导价8.70万(含税),https://www.guazi.com/xuzhou/982ada00207dd5f0x.htm
2014-12,2.3万公里,徐州,国四,手动,1.2,0次过户,丰县,2018-12,2018-9,2018-9,雪佛兰 赛欧 2013款 三厢 1.2L 手动时尚幸福版,¥2.90 万,新车指导价6.40万(含税),https://www.guazi.com/xuzhou/c942d72066a065a0x.htm
2016-02,1.37万公里,徐州,国五,手动,1.6,0次过户,鼓楼,2020-2,2019-1,2019-1,雪铁龙 世嘉 2016款 经典 三厢 1.6L 手动品尚型,¥5.80 万,新车指导价10.40万(含税),https://www.guazi.com/xuzhou/024ebe97291b705ex.htm
2013-03,4.49万公里,徐州,国四,手动,1.4,2次过户,云龙,2019-3,2019-7,已过期,大众POLO 2013款 1.4L 手动风尚版,¥3.70 万,新车指导价9.30万(含税),https://www.guazi.com/xuzhou/a495901865c146c0x.htm
2017-08,0.9万公里,徐州,国五,手动,1.5,0次过户,云龙,2019-8,2019-8,已过期,奇瑞 风云2 2015款 1.5L 手动新锐版,¥3.20 万,新车指导价4.70万(含税),https://www.guazi.com/xuzhou/4a083307ee982410x.htm
2016-11,8.24万公里,徐州,国五,自动,1.4,0次过户,云龙,2020-11,2018-12,2018-11,大众 帕萨特 2014款 1.4TSI DSG尊荣版,¥11.85 万,新车指导价22.70万(含税),https://www.guazi.com/xuzhou/fea9bc611f96b49ax.htm
2015-09,5.42万公里,徐州,国五,自动,1.8,0次过户,鼓楼,2019-9,2019-8,已过期,本田 缤智 2015款 1.8L CVT两驱豪华型,¥11.50 万,新车指导价17.80万(含税),https://www.guazi.com/xuzhou/72e22bcf13e56cefx.htm
2015-08,4.16万公里,徐州,国四,自动,1.6,0次过户,云龙,2019-8,2019-8,2019-8,现代 朗动 2015款 1.6L 自动领先型,¥7.60 万,新车指导价13.90万(含税),https://www.guazi.com/xuzhou/d4ab4e3df1ddadb6x.htm
2013-11,5.78万公里,徐州,国四,自动,1.8,0次过户,鼓楼,2019-11,2019-11,2019-11,福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,¥5.30 万,新车指导价13.40万(含税),https://www.guazi.com/xuzhou/11ba43ee1b08c32dx.htm
2014-08,3.06万公里,徐州,国五,自动,1.5,0次过户,云龙,2020-8,2019-8,2019-8,别克 凯越 2013款 1.5L 自动经典型,¥4.20 万,新车指导价11.10万(含税),https://www.guazi.com/xuzhou/41fd5c2ee48b12f2x.htm
2013-05,4.76万公里,徐州,国四,手动,1.4,0次过户,泉山,2019-5,2019-5,2019-5,标致207 2011款 两厢 1.4L 手动驭乐版,¥2.70 万,新车指导价7.80万(含税),https://www.guazi.com/xuzhou/a69c63dd7ab15a2ax.htm
2014-03,7.79万公里,徐州,国四,手动,1.4,1次过户,睢宁,2020-3,2019-2,已过期,菲亚特 菲翔 2014款 1.4T 手动劲享版,¥4.00 万,新车指导价13.50万(含税),https://www.guazi.com/xuzhou/5d4fc58ccc952e55x.htm
2013-05,8.14万公里,徐州,国四,自动,2.0,1次过户,云龙,2019-5,2019-5,已过期,雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,补贴后7.09 万,原价7.57万,https://www.guazi.com/xuzhou/9433e172d183bb64x.htm
2015-10,2.72万公里,徐州,国五,自动,1.6,0次过户,邳州,2019-10,2019-10,2019-10,斯柯达 明锐 2015款 1.6L 自动逸俊版,¥9.00 万,新车指导价16.50万(含税),https://www.guazi.com/xuzhou/56e3bdf10e9f64a2x.htm
2014-12,7.05万公里,徐州,国四,手动,1.4,0次过户,新沂,2020-12,2019-10,已过期,大众 朗逸 2013款 改款 1.4TSI 手动舒适版,¥7.00 万,新车指导价14.50万(含税),https://www.guazi.com/xuzhou/bcc398bdc08b424fx.htm
2010-11,12.32万公里,徐州,国四,手动,1.2,1次过户,鼓楼,2019-11,2019-11,已过期,雪佛兰 赛欧 2010款 三厢 1.2L 手动温馨版,¥1.80 万,新车指导价6.20万(含税),https://www.guazi.com/xuzhou/5e54f5ddda4554fax.htm
2016-01,4.57万公里,徐州,国五,手动,1.8,0次过户,鼓楼,2020-1,2019-1,2019-1,宝骏560 2015款 1.8L 手动豪华型,¥5.33 万,新车指导价9.70万(含税),https://www.guazi.com/xuzhou/a31a2a6e8175cb85x.htm
2015-06,1.86万公里,徐州,国五,手动,1.5,0次过户,邳州,2019-6,2019-6,已过期,宝骏630 2014款 1.5L 手动舒适型,¥4.20 万,新车指导价7.70万(含税),https://www.guazi.com/xuzhou/c18c741015fc8f10x.htm
2017-05,1.44万公里,徐州,国五,手动,1.4,0次过户,新沂,2019-5,2019-8,2019-8,大众POLO 2016款 1.4L 手动风尚型,¥5.50 万,新车指导价8.20万(含税),https://www.guazi.com/xuzhou/31d90d1720015a73x.htm
2015-09,7.05万公里,徐州,国五,自动,1.4,0次过户,沛县,2019-9,2019-8,已过期,大众 速腾 2015款 230TSI 自动舒适型,¥9.50 万,新车指导价17.50万(含税),https://www.guazi.com/xuzhou/80f85a55152adde6x.htm
2017-05,3.9万公里,徐州,国五,手动,1.6,0次过户,泉山,2019-5,2019-5,已过期,大众 朗逸 2013款 1.6L 手动舒适版,¥7.20 万,新车指导价13.70万(含税),https://www.guazi.com/xuzhou/64350cdffcd52abax.htm
2010-06,8.27万公里,徐州,国四,手动,1.4,0次过户,鼓楼,2019-6,2019-5,2019-5,大众 速腾 2010款 1.4TSI 手动豪华型,¥3.80 万,新车指导价16.90万(含税),https://www.guazi.com/xuzhou/8d21f61e1e5be916x.htm
2012-01,9.21万公里,徐州,国四,自动,1.6,1次过户,泉山,2019-1,2019-12,已过期,大众 朗逸 2011款 1.6L 自动品雅版,¥5.00 万,新车指导价14.60万(含税),https://www.guazi.com/xuzhou/790b9eb7c1573d71x.htm
2013-10,5.51万公里,徐州,国四,自动,1.6,0次过户,新沂,2019-10,2019-10,已过期,大众 朗行 2013款 1.6L 自动舒适型,¥7.20 万,新车指导价15.30万(含税),https://www.guazi.com/xuzhou/e3276eec883736fax.htm
2010-12,9.42万公里,徐州,国四,手动,1.6,1次过户,沛县,2018-12,2019-9,2019-9,别克 英朗 2010款 XT 1.6L 手动进取版,¥2.88 万,新车指导价14.60万(含税),https://www.guazi.com/xuzhou/2500cbb074b862cex.htm
2015-12,9.47万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-12,2019-12,2019-12,丰田 皇冠 2015款 2.0T 时尚版,¥20.20 万,新车指导价32.00万(含税),https://www.guazi.com/xuzhou/502aaa156043ae65x.htm
2017-09,3.94万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-9,2019-8,2019-8,路虎 发现神行 2017款 2.0T PURE,¥26.22 万,新车指导价39.90万(含税),https://www.guazi.com/xuzhou/2bb6d8772de65b00x.htm
2011-06,4.68万公里,徐州,国三,手动,1.0,1次过户,云龙,2019-6,2019-6,已过期,比亚迪F0 2010款 尚酷爱国版 1.0L 铉酷型,¥0.90 万,新车指导价4.00万(含税),https://www.guazi.com/xuzhou/cd5e4a72f11c5df1x.htm
2012-09,10.98万公里,徐州,国四,手动,1.5,2次过户,邳州,2019-9,2019-9,已过期,奇瑞 风云2 2010款 两厢 1.5L 豪华型,¥1.28 万,新车指导价6.40万(含税),https://www.guazi.com/xuzhou/e4bc62302da866c6x.htm
2013-08,5.47万公里,徐州,国四,自动,1.4,0次过户,云龙,2019-8,2019-8,2019-8,大众 尚酷 2011款 1.4TSI 舒适版(进口),¥13.02 万,新车指导价29.50万(含税),https://www.guazi.com/xuzhou/c1bcf7de248f2b7bx.htm
2016-05,3.16万公里,徐州,国五,手动,1.6,1次过户,邳州,2020-5,2019-5,2019-5,大众 捷达 2015款 质惠版 1.6L 手动时尚型,¥4.70 万,新车指导价9.30万(含税),https://www.guazi.com/xuzhou/048bc69c9e29f952x.htm
2012-01,5.68万公里,徐州,国四,手动,1.6,2次过户,丰县,2019-2,2019-2,2019-2,雪佛兰 科鲁兹 2012款 1.6L SE MT,¥3.55 万,新车指导价13.00万(含税),https://www.guazi.com/xuzhou/d83e7aae6786e24fx.htm
2011-12,9.27万公里,徐州,国四,手动,1.6,0次过户,沛县,2018-12,2019-2,已过期,雪佛兰 科鲁兹 2009款 1.6L SL MT,¥2.90 万,新车指导价11.80万(含税),https://www.guazi.com/xuzhou/e2c1de46a4aa1407x.htm
2009-05,8.8万公里,徐州,国四,自动,1.8,2次过户,云龙,2018-5,2018-5,2018-5,本田思域 2008款 1.8L 自动纪念经典版,¥4.80 万,新车指导价17.10万(含税),https://www.guazi.com/xuzhou/ad01d0406b2fec6ex.htm
2015-08,5.51万公里,徐州,国五,自动,1.5,0次过户,云龙,2019-8,2019-7,2019-7,福特 翼虎 2015款 1.5L GTDi 四驱精英型,补贴后12.15 万,原价12.97万,https://www.guazi.com/xuzhou/2f470cf6778db729x.htm
2017-03,1.07万公里,徐州,国五,自动,1.6,0次过户,睢宁,2019-3,2018-3,2018-3,日产骐达 2016款 1.6L CVT酷动版,¥8.70 万,新车指导价12.40万(含税),https://www.guazi.com/xuzhou/1700db55f2ff55aex.htm
2014-05,7.7万公里,徐州,国五,自动,1.6,0次过户,泉山,2020-5,2019-4,2019-4,标致301 2014款 1.6L 自动舒适版,¥4.30 万,新车指导价10.30万(含税),https://www.guazi.com/xuzhou/e3c469612d00f434x.htm
2016-01,3.79万公里,徐州,国五,自动,1.4,0次过户,鼓楼,2020-1,2019-12,2019-12,菲亚特 致悦 2014款 1.4T 自动时尚版,¥7.00 万,新车指导价13.30万(含税),https://www.guazi.com/xuzhou/d5e63fb153e24320x.htm
2014-09,5.33万公里,徐州,国四,自动,1.6,2次过户,邳州,2020-9,2019-9,2019-9,日产 骐达 2014款 1.6L CVT舒适型,¥6.65 万,新车指导价12.50万(含税),https://www.guazi.com/xuzhou/a2a159b61bdd1f61x.htm
2015-02,6.97万公里,徐州,国四,自动,2.0,0次过户,云龙,2019-2,2019-1,2019-1,福特 翼虎 2013款 2.0L GTDi 四驱运动型,¥13.16 万,新车指导价28.50万(含税),https://www.guazi.com/xuzhou/e03ecdd457001870x.htm
2012-11,3.74万公里,徐州,国四,自动,2.0,0次过户,鼓楼,2019-10,2019-11,2019-11,吉利EC8 2011款 2.0L 自动BMBS版,¥3.00 万,新车指导价15.90万(含税),https://www.guazi.com/xuzhou/00f172aaaf103f08x.htm
2014-06,7.2万公里,徐州,国四,自动,2.0,0次过户,云龙,2020-6,2019-6,2019-6,别克 君威 2014款 2.0L 领先时尚型,¥8.45 万,新车指导价19.40万(含税),https://www.guazi.com/xuzhou/7c1d23f2c27f3cb5x.htm
2014-01,5.68万公里,徐州,国五,自动,1.6,1次过户,云龙,2020-1,2019-1,已过期,福特 翼虎 2013款 1.6L GTDi 四驱精英型,¥10.20 万,新车指导价26.00万(含税),https://www.guazi.com/xuzhou/93b6cb2c6a75f1e8x.htm
2014-11,3.26万公里,徐州,国四,自动,1.5,0次过户,云龙,2018-11,2018-11,2018-11,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,¥11.80 万,新车指导价20.60万(含税),https://www.guazi.com/xuzhou/266c53fab33fb7f8x.htm
2015-10,3.2万公里,徐州,国五,手动,1.6,0次过户,新沂,2019-10,2019-10,已过期,标致308 2014款 乐享版 经典 1.6L 手动优尚型,¥5.00 万,新车指导价11.50万(含税),https://www.guazi.com/xuzhou/2a2329e07419d8b1x.htm
2016-07,2.5万公里,徐州,国五,手动,1.5,0次过户,睢宁,2020-7,2019-6,2019-6,别克 英朗 2016款 15N 手动进取型,¥7.00 万,新车指导价11.90万(含税),https://www.guazi.com/xuzhou/8ff280b64dc6f1d4x.htm
2015-05,6.8万公里,徐州,国五,自动,2.0,0次过户,鼓楼,2019-5,2019-5,2019-5,雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,¥9.00 万,新车指导价20.30万(含税),https://www.guazi.com/xuzhou/c809cbdc4ff4eb62x.htm
2013-05,3.58万公里,徐州,国四,手动,1.5,0次过户,鼓楼,2019-5,2019-5,2019-5,宝骏630 2012款 1.5L DVVT手动舒适型,¥2.55 万,新车指导价7.70万(含税),https://www.guazi.com/xuzhou/cdc29dbc84431a92x.htm
2016-07,5.59万公里,徐州,国五,手动,1.5,0次过户,邳州,2020-7,2019-7,2019-7,众泰 大迈X5 2015款 1.5T 手动精英型 国IV,¥4.00 万,新车指导价8.00万(含税),https://www.guazi.com/xuzhou/2eefd81e633bd0bax.htm
2015-01,2.12万公里,徐州,国四,自动,1.4,0次过户,新沂,2019-1,2019-1,已过期,雪佛兰 赛欧 2013款 三厢 1.4L AMT优逸版,¥4.00 万,新车指导价8.20万(含税),https://www.guazi.com/xuzhou/09daa37d77bebccfx.htm
2016-01,3.81万公里,徐州,国四,手动,1.4,0次过户,新沂,2020-1,2019-1,已过期,现代 瑞纳 2014款 1.4L 手动智能型GLS,¥4.60 万,新车指导价8.60万(含税),https://www.guazi.com/xuzhou/d9561240fab657afx.htm
2013-01,7.31万公里,徐州,国四,手动,2.0,0次过户,鼓楼,2019-2,2019-1,已过期,雪铁龙 世嘉 2013款 三厢 2.0L 手动品悦型,¥3.98 万,新车指导价12.70万(含税),https://www.guazi.com/xuzhou/96fe44cd7d8c3a0ax.htm
2011-07,6.82万公里,徐州,国四,自动,1.6,2次过户,邳州,2019-7,2019-7,2019-7,雪铁龙 世嘉 2011款 三厢 1.6L 自动时尚型,¥3.50 万,新车指导价12.90万(含税),https://www.guazi.com/xuzhou/cdeb715bd105d82ex.htm
2015-08,7.18万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-8,2019-11,已过期,标致3008 2015款 2.0L 自动潮流版,¥9.00 万,新车指导价20.30万(含税),https://www.guazi.com/xuzhou/1b26249cc5280fd1x.htm
2014-03,5.24万公里,徐州,国四,手动,1.6,1次过户,泉山,2020-3,2019-3,2019-3,雪佛兰 科鲁兹 2013款 1.6L SL MT,¥4.20 万,新车指导价11.80万(含税),https://www.guazi.com/xuzhou/53e49dce8283d2fcx.htm
